OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor,lng,lat
73,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ferndale,Washington,5,110.5,48.1,38,0,0,18.5,15.6,91.3,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.830501,-122.696618,1,-122.69661799999999,48.83050100000002
74,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Linden,New Jersey,1,272.1,75,145,0,0,37,22.8,191,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.635876,-74.22235,1,-74.22234999999998,40.63587599999999
75,336,MONROE ENERGY LLC,DELTA AIR LINES INC,Trainer,Pennsylvania,1,208,73,53,23,0,50,12,190.6,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.819143,-75.403896,1,-75.40389599999999,39.81914300000004
76,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,Ardmore,Oklahoma,2,88,32,30,14,0,20.5,7,113,0,14.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,34.2044,-97.101794,1,-97.10179399999996,34.204399999999964
77,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,Commerce City East,Colorado,4,38.7,8.5,9.5,0,0,11,0,11,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.801794,-104.944705,1,-104.94470500000003,39.80179399999998
78,342,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Rodeo,California,5,128,93.2,0,69,0,34,13.8,62.5,51,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.043474,-122.255632,1,-122.255632,38.043474000000074
79,343,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Wilmington,California,5,147,83.4,51.6,27.5,0,36.2,35.8,151.2,53.2,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.810856,-118.243473,1,-118.243473,33.810855999999994
80,351,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,Corpus Christi,Texas,3,297,91,95.5,51,0,50,40.5,293.5,19,30.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.816758,-97.484505,1,-97.48450499999998,27.816758000000018
81,353,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,Bradford,Pennsylvania,1,11.8,0,0,0,0,2.2,0.8,8.7,0,0.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.966715,-78.629424,0,-78.62942399999999,41.96671500000006
82,356,HERMES CONSOLIDATED LLC,PAR PETROLEUM INC,New Castle,Wyoming,4,18.5,0,7.5,0,0,4,1.3,10,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,43.848521,-104.213903,0,-104.213903,43.848521000000034
83,362,FORELAND REFINING CORP,FORELAND REFINING CORP,Ely,Nevada,5,5,2.8,0,0,0,0,0,0,0,1.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.621486,-115.617898,0,-115.61789799999997,38.62148600000003
84,363,PAR HAWAII REFINING LLC,PAR PETROLEUM INC,Kapolei,Hawaii,5,152,71,0,20,11,13.5,0,13,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,21.303769,-158.0914,1,-158.09140000000002,21.303768999999964
85,381,COUNTRYMARK COOPERATIVE INC,COUNTRYMARK COOP INC,Mount Vernon,Indiana,2,30.8,14.5,8.8,0,0,6.5,5.4,31,0,3.7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.906028,-87.928877,0,-87.92887699999996,37.906028000000035
86,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,Smackover,Arkansas,3,7.7,3.9,0,0,0,0,0,6,0,0.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.363209,-92.712123,0,-92.71212299999999,33.36320899999998
87,385,DEER PARK REFINING LTD PARTNERSHIP,DEER PARK REFINING LTD PTNRSHP,Deer Park,Texas,3,340,180,80.1,60,0,68.5,21,309.1,96,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.731441,-95.126797,1,-95.12679699999997,29.731441000000018
88,386,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Sunray,Texas,3,200,50,56,29,0,47,12.8,131.5,0,12,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.95563,-101.880991,0,-101.88099100000001,35.95563000000003
89,387,DIAMOND SHAMROCK REFINING CO LP,VALERO ENERGY CORP,Three Rivers,Texas,3,91,33.5,23.8,28,0,33.5,10,80,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,28.45921,-98.188265,1,-98.188265,28.45921000000008
90,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,Commerce City West,Colorado,4,73,25,21,0,0,10.9,0,76.4,0,13.2,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.803311,-104.946497,1,-104.94649700000001,39.80331100000001
91,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Westlake,Louisiana,3,273,125,51.6,0,0,48,34,267,65.2,6.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.241215,-93.271135,1,-93.271135,30.241214999999983
92,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Billings,Montana,4,69.5,45.1,24.5,0,0,9.2,11.3,81.2,18.3,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.78057,-108.490143,1,-108.49014299999999,45.78057000000004
93,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ponca City,Oklahoma,2,226.7,89,76.9,0,0,49.3,17.6,240,27.4,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,36.675939,-97.079264,1,-97.07926400000001,36.67593899999998
94,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,Port Arthur,Texas,3,415,220,75,134.8,0,55,19.5,331.3,103,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.857368,-93.962546,1,-93.96254599999997,29.857367999999973
95,442,LION OIL CO,DELEK GROUP LTD,El Dorado,Arkansas,3,85,45,21,0,0,15.3,12.5,92.8,0,20.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.199731,-92.673774,1,-92.67377400000002,33.199731000000064
96,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,Houston,Texas,3,289,196.5,110,0,0,0,11.3,404.1,100.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.701556,-95.251761,1,-95.25176099999999,29.70155600000003
97,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,North Pole,Alaska,5,22.5,0,0,0,0,0,0,0,0,3,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,64.85276,-147.748499,0,-147.74849900000004,64.85276000000006
98,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,Valdez,Alaska,5,60,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,61.081919,-146.381762,0,-146.381762,61.081919
99,465,CITGO PETROLEUM CORP,PDV AMERICA INC,Lake Charles,Louisiana,3,440,230,151,51.2,0,118.2,56.1,410.5,110,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.181174,-93.332596,1,-93.33259599999997,30.18117400000008
